site,n,auc_0b,auc_fdreg,r_score_fd,p_score_fd
CALTECH,36,0.599,0.651,0.275,0.1045
KKI,34,0.582,0.627,0.031,0.8621
LEUVEN_1,28,0.668,0.638,0.253,0.1932
LEUVEN_2,32,0.595,0.611,0.205,0.2611
MAX_MUN,39,0.586,0.578,0.206,0.2078
NYU,169,0.726,0.72,0.227,0.003
OLIN,24,0.776,0.741,0.128,0.5503
PITT,43,0.584,0.584,-0.141,0.368
SBL,24,0.699,0.699,-0.036,0.8661
SDSU,32,0.532,0.506,0.22,0.2253
STANFORD,33,0.456,0.459,0.162,0.3668
TRINITY,42,0.625,0.634,-0.185,0.2419
UCLA_1,55,0.701,0.701,0.137,0.3193
UM_1,68,0.716,0.703,0.123,0.3159
UM_2,28,0.807,0.802,0.279,0.151
USM,59,0.825,0.824,-0.066,0.6194
YALE,48,0.699,0.715,0.353,0.0139
