rung,site,n_test,roc_auc,pr_auc,best_hp
-2,CALTECH,36,0.5278,0.5985,0.01
-2,KKI,34,0.6089,0.3735,0.01
-2,LEUVEN_1,28,0.4694,0.5355,0.01
-2,LEUVEN_2,32,0.5385,0.5429,0.01
-2,MAX_MUN,39,0.5615,0.5624,0.01
-2,NYU,169,0.6489,0.6056,0.01
-2,OLIN,24,0.5315,0.5655,0.01
-2,PITT,43,0.355,0.4566,0.01
-2,SBL,24,0.6364,0.6749,0.01
-2,SDSU,32,0.4719,0.4682,0.01
-2,STANFORD,33,0.4815,0.429,0.01
-2,TRINITY,42,0.7182,0.7461,0.01
-2,UCLA_1,55,0.6283,0.6325,0.01
-2,UM_1,68,0.7282,0.5915,0.01
-2,UM_2,28,0.5775,0.6034,0.01
-2,USM,59,0.4831,0.6375,0.01
-2,YALE,48,0.5787,0.5159,0.01
-1,CALTECH,36,0.5062,0.5856,0.01
-1,KKI,34,0.5867,0.3308,0.01
-1,LEUVEN_1,28,0.4133,0.4967,0.01
-1,LEUVEN_2,32,0.5344,0.5282,0.01
-1,MAX_MUN,39,0.5374,0.5303,0.01
-1,NYU,169,0.6655,0.5794,0.01
-1,OLIN,24,0.4965,0.541,10
-1,PITT,43,0.4113,0.4972,0.01
-1,SBL,24,0.4545,0.6389,10
-1,SDSU,32,0.5541,0.4952,0.01
-1,STANFORD,33,0.4481,0.4145,1
-1,TRINITY,42,0.6864,0.7152,10
-1,UCLA_1,55,0.6362,0.6461,10
-1,UM_1,68,0.7178,0.578,0.01
-1,UM_2,28,0.5241,0.5417,0.01
-1,USM,59,0.5024,0.6544,0.01
-1,YALE,48,0.549,0.5088,0.01
0a,CALTECH,36,0.5617,0.6951,"[1, ""scale""]"
0a,KKI,34,0.5867,0.4843,"[1, ""scale""]"
0a,LEUVEN_1,28,0.4541,0.5156,"[1, 0.01]"
0a,LEUVEN_2,32,0.7935,0.6968,"[1, ""scale""]"
0a,MAX_MUN,39,0.6604,0.6921,"[1, ""scale""]"
0a,NYU,169,0.6131,0.5355,"[1, 0.01]"
0a,OLIN,24,0.6643,0.8021,"[1, ""scale""]"
0a,PITT,43,0.619,0.6562,"[1, ""scale""]"
0a,SBL,24,0.5035,0.5949,"[1, ""scale""]"
0a,SDSU,32,0.6537,0.5472,"[1, ""scale""]"
0a,STANFORD,33,0.6593,0.5546,"[1, 0.01]"
0a,TRINITY,42,0.5182,0.5183,"[1, ""scale""]"
0a,UCLA_1,55,0.5516,0.589,"[1, ""scale""]"
0a,UM_1,68,0.5294,0.4489,"[1, 0.01]"
0a,UM_2,28,0.6043,0.6097,"[1, ""scale""]"
0a,USM,59,0.4638,0.6352,"[1, ""scale""]"
0a,YALE,48,0.6469,0.6122,"[10, ""scale""]"
0b,CALTECH,36,0.5988,0.5992,0.001
0b,KKI,34,0.5822,0.3938,0.001
0b,LEUVEN_1,28,0.6684,0.765,0.001
0b,LEUVEN_2,32,0.5951,0.5004,0.001
0b,MAX_MUN,39,0.5856,0.5636,0.001
0b,NYU,169,0.7264,0.6767,0.001
0b,OLIN,24,0.7762,0.7673,0.001
0b,PITT,43,0.5844,0.635,0.001
0b,SBL,24,0.6993,0.7933,0.001
0b,SDSU,32,0.5325,0.3689,0.001
0b,STANFORD,33,0.4556,0.4275,0.001
0b,TRINITY,42,0.625,0.6614,0.001
0b,UCLA_1,55,0.7011,0.7136,0.001
0b,UM_1,68,0.7159,0.6183,0.001
0b,UM_2,28,0.8075,0.6939,0.001
0b,USM,59,0.8249,0.8825,0.001
0b,YALE,48,0.6993,0.7083,0.001
0c,CALTECH,36,0.5895,0.6339,0.001
0c,KKI,34,0.5911,0.4118,0.001
0c,LEUVEN_1,28,0.6888,0.7994,0.001
0c,LEUVEN_2,32,0.6356,0.5639,0.001
0c,MAX_MUN,39,0.5722,0.5789,0.001
0c,NYU,169,0.7252,0.6833,0.001
0c,OLIN,24,0.8042,0.8039,0.001
0c,PITT,43,0.6082,0.6559,0.001
0c,SBL,24,0.6503,0.7212,0.001
0c,SDSU,32,0.5325,0.3623,0.001
0c,STANFORD,33,0.5074,0.4531,0.001
0c,TRINITY,42,0.6045,0.6562,0.001
0c,UCLA_1,55,0.7169,0.726,0.001
0c,UM_1,68,0.7235,0.6407,0.001
0c,UM_2,28,0.8021,0.6893,0.001
0c,USM,59,0.8261,0.8822,0.001
0c,YALE,48,0.7098,0.7103,0.001
