model,site,test_auc
dummy,CALTECH,0.5
dummy,CMU,0.5
dummy,KKI,0.5
dummy,LEUVEN_1,0.5
dummy,LEUVEN_2,0.5
dummy,MAX_MUN,0.5
dummy,NYU,0.5
dummy,OHSU,0.5
dummy,OLIN,0.5
dummy,PITT,0.5
dummy,SBL,0.5
dummy,SDSU,0.5
dummy,STANFORD,0.5
dummy,TRINITY,0.5
dummy,UCLA_1,0.5
dummy,UCLA_2,0.5
dummy,UM_1,0.5
dummy,UM_2,0.5
dummy,USM,0.5
dummy,YALE,0.5
logreg,CALTECH,0.6481481481481481
logreg,CMU,0.5549450549450549
logreg,KKI,0.6009615384615384
logreg,LEUVEN_1,0.6887755102040817
logreg,LEUVEN_2,0.7754385964912281
logreg,MAX_MUN,0.5821678321678322
logreg,NYU,0.5469560469560469
logreg,OHSU,0.4358974358974359
logreg,OLIN,0.5296296296296297
logreg,PITT,0.5726495726495726
logreg,SBL,0.5
logreg,SDSU,0.5826446280991735
logreg,STANFORD,0.47678018575851394
logreg,TRINITY,0.42063492063492064
logreg,UCLA_1,0.5072580645161291
logreg,UCLA_2,0.5902777777777778
logreg,UM_1,0.6721970839617899
logreg,UM_2,0.5657894736842105
logreg,USM,0.680952380952381
logreg,YALE,0.6568877551020409
mlp,CALTECH,0.5993827160493828
mlp,CMU,0.5296703296703297
mlp,KKI,0.5427884615384615
mlp,LEUVEN_1,0.5683673469387756
mlp,LEUVEN_2,0.6898245614035088
mlp,MAX_MUN,0.5216783216783216
mlp,NYU,0.5745563745563746
mlp,OHSU,0.5884615384615385
mlp,OLIN,0.4918518518518519
mlp,PITT,0.5917378917378917
mlp,SBL,0.5857142857142856
mlp,SDSU,0.5958677685950413
mlp,STANFORD,0.5956656346749226
mlp,TRINITY,0.4531746031746032
mlp,UCLA_1,0.6054838709677419
mlp,UCLA_2,0.4611111111111111
mlp,UM_1,0.6305681246857718
mlp,UM_2,0.5903508771929824
mlp,USM,0.5801904761904761
mlp,YALE,0.6443877551020408
rf,CALTECH,0.5154320987654322
rf,CMU,0.5252747252747253
rf,KKI,0.6483173076923077
rf,LEUVEN_1,0.5081632653061224
rf,LEUVEN_2,0.6494736842105263
rf,MAX_MUN,0.5409090909090909
rf,NYU,0.6146328146328146
rf,OHSU,0.6948717948717948
rf,OLIN,0.5825925925925926
rf,PITT,0.7343304843304843
rf,SBL,0.4615384615384615
rf,SDSU,0.681404958677686
rf,STANFORD,0.5904024767801858
rf,TRINITY,0.47757936507936505
rf,UCLA_1,0.571774193548387
rf,UCLA_2,0.55
rf,UM_1,0.6437405731523379
rf,UM_2,0.6578947368421052
rf,USM,0.5063809523809523
rf,YALE,0.7834183673469388
svm_linear,CALTECH,0.6419753086419753
svm_linear,CMU,0.5659340659340659
svm_linear,KKI,0.6538461538461539
svm_linear,LEUVEN_1,0.6760204081632653
svm_linear,LEUVEN_2,0.7105263157894737
svm_linear,MAX_MUN,0.5008741258741258
svm_linear,NYU,0.5483210483210483
svm_linear,OHSU,0.36538461538461536
svm_linear,OLIN,0.5037037037037037
svm_linear,PITT,0.5548433048433048
svm_linear,SBL,0.5494505494505495
svm_linear,SDSU,0.5578512396694215
svm_linear,STANFORD,0.4613003095975232
svm_linear,TRINITY,0.42460317460317465
svm_linear,UCLA_1,0.5048387096774193
svm_linear,UCLA_2,0.5069444444444444
svm_linear,UM_1,0.6485671191553545
svm_linear,UM_2,0.47807017543859653
svm_linear,USM,0.6228571428571429
svm_linear,YALE,0.6122448979591837
svm_rbf,CALTECH,0.5740740740740741
svm_rbf,CMU,0.6373626373626373
svm_rbf,KKI,0.625
svm_rbf,LEUVEN_1,0.5867346938775511
svm_rbf,LEUVEN_2,0.7719298245614036
svm_rbf,MAX_MUN,0.5891608391608392
svm_rbf,NYU,0.601010101010101
svm_rbf,OHSU,0.608974358974359
svm_rbf,OLIN,0.5592592592592592
svm_rbf,PITT,0.6965811965811967
svm_rbf,SBL,0.4230769230769231
svm_rbf,SDSU,0.6115702479338843
svm_rbf,STANFORD,0.631578947368421
svm_rbf,TRINITY,0.490079365079365
svm_rbf,UCLA_1,0.5838709677419355
svm_rbf,UCLA_2,0.5347222222222222
svm_rbf,UM_1,0.6701860231271997
svm_rbf,UM_2,0.587719298245614
svm_rbf,USM,0.4895238095238095
svm_rbf,YALE,0.8010204081632653
xgboost,CALTECH,0.5407407407407407
xgboost,CMU,0.5109890109890111
xgboost,KKI,0.5908653846153846
xgboost,LEUVEN_1,0.5265306122448979
xgboost,LEUVEN_2,0.744561403508772
xgboost,MAX_MUN,0.5402097902097902
xgboost,NYU,0.5846846846846847
xgboost,OHSU,0.6807692307692308
xgboost,OLIN,0.5325925925925926
xgboost,PITT,0.6378917378917379
xgboost,SBL,0.45054945054945056
xgboost,SDSU,0.6661157024793388
xgboost,STANFORD,0.5993808049535604
xgboost,TRINITY,0.3948412698412698
xgboost,UCLA_1,0.5388709677419354
xgboost,UCLA_2,0.6472222222222221
xgboost,UM_1,0.6604323780794369
xgboost,UM_2,0.6552631578947368
xgboost,USM,0.5255238095238095
xgboost,YALE,0.6910714285714286
