model,seed,test_auc,val_auc
hetero_fixed,42,0.5576923076923076,0.558840579710145
hetero_fixed,123,0.5769230769230769,0.5269565217391304
hetero_fixed,456,0.5897435897435898,0.5323671497584541
hetero_adaptive,42,0.5256410256410257,0.5339130434782609
hetero_adaptive,123,0.5064102564102564,0.5582608695652174
hetero_adaptive,456,0.6602564102564102,0.5522705314009662
dummy,42,0.5,
logreg,42,0.4358974358974359,
svm_linear,42,0.36538461538461536,
svm_rbf,42,0.608974358974359,
rf,42,0.7532051282051282,
mlp,42,0.5897435897435896,
xgboost,42,0.5384615384615384,
dummy,123,0.5,
logreg,123,0.4358974358974359,
svm_linear,123,0.36538461538461536,
svm_rbf,123,0.608974358974359,
rf,123,0.6538461538461537,
mlp,123,0.5192307692307693,
xgboost,123,0.5384615384615384,
dummy,456,0.5,
logreg,456,0.4358974358974359,
svm_linear,456,0.358974358974359,
svm_rbf,456,0.608974358974359,
rf,456,0.7435897435897436,
mlp,456,0.6025641025641025,
xgboost,456,0.5384615384615384,
